"","state_cens","sector","nobs","empl","member","covered","pctmem","pctcov","state2","unioncovpct_state","idvarstate","state","year","robotpct_state","stateyear","medianhouseinc","unemprate","femalepct","manufemp","healthins","oldage","wage_state"
"86",44,"Total",2570,355344.6683,21329.5523,26558.7480583333,0.0600249692797661,0.0747408121824265,"ND",7.47408121824265,"North Dakota-2019","North Dakota","2019",37.5,"North Dakota-2019",64.577,2.6,65.2,6.6,93.1,8,48.0238888888889
"87",31,"Total",3851,5125431.67365001,610337.923433332,672905.663091666,0.119080297648907,0.131287604570389,"OH",13.1287604570389,"Ohio-2019","Ohio","2019",34.5,"Ohio-2019",58.642,4.6,59.3,15.3,93.4,8.3,48.4676
"88",73,"Total",2136,1554967.96734167,96603.810175,123351.13205,0.0621259175240993,0.0793271213769913,"OK",7.93271213769913,"Oklahoma-2019","Oklahoma","2019",25.5,"Oklahoma-2019",54.449,4.4,55.8,9.5,85.7,9.7,48.75625
"89",92,"Total",2343,1772417.64135833,254959.402633333,277031.384433333,0.14384837448597,0.156301409006119,"OR",15.6301409006119,"Oregon-2019","Oregon","2019",23.9,"Oregon-2019",67.058,5,58.6,11.1,92.8,8.1,51.1141666666667
"90",23,"Total",4184,5641891.901425,676536.747100001,740493.284316667,0.119913101196289,0.131249114871025,"PA",13.1249114871025,"Pennsylvania-2019","Pennsylvania","2019",24.5,"Pennsylvania-2019",63.463,4.5,58.6,11.5,94.2,8.3,50.6756
"91",15,"Total",1467,474069.851491667,82461.2318416667,90129.5682916667,0.1739432066679,0.190118744969368,"RI",19.0118744969368,"Rhode Island-2019","Rhode Island","2019",20.7,"Rhode Island-2019",71.169,4.2,61.5,10.9,95.9,8.9,54.4609090909091
"92",57,"Total",2410,2139649.36521667,47060.8313,58611.7187,0.0219946466386318,0.0273931417614222,"SC",2.73931417614222,"South Carolina-2019","South Carolina","2019",23,"South Carolina-2019",56.227,4.7,56,13.7,89.2,10.1,47.1604
"93",45,"Total",1851,395244.70635,22003.0634333333,26360.6463916667,0.0556694716215134,0.0666944980621338,"SD",6.66944980621338,"South Dakota-2019","South Dakota","2019",18.4,"South Dakota-2019",59.533,3,64.1,10.7,89.8,7.7,41.2094736842105
"94",62,"Total",3036,2947377.770525,133982.84375,161549.434941667,0.0454583205282688,0.054811242967844,"TN",5.4811242967844,"Tennessee-2019","Tennessee","2019",33.1,"Tennessee-2019",56.071,4.5,57.4,13.1,89.9,9.7,47.0028
"95",74,"Total",8737,12337273.4418916,496886.2541,642117.438958333,0.0402752086520195,0.0520469471812248,"TX",5.20469471812248,"Texas-2019","Texas","2019",17.5,"Texas-2019",64.034,4.4,58.4,8.5,81.6,10.6,51.4576
"96",87,"Total",2683,1406118.63521667,61467.362575,83201.228475,0.0437142066657543,0.0591708458960056,"UT",5.91708458960056,"Utah-2019","Utah","2019",28.5,"Utah-2019",75.78,3.2,62.6,9.7,90.3,6.2,49.9028
"97",13,"Total",2144,289926.216916667,32620.3463083333,34761.1161083333,0.112512581050396,0.119896419346333,"VT",11.9896419346333,"Vermont-2019","Vermont","2019",14.8,"Vermont-2019",63.001,3.4,62.2,10.3,95.5,6.1,49.0761904761905
"98",54,"Total",2978,3882295.97041667,156169.938075,201054.463208333,0.0402261801064014,0.0517875142395496,"VA",5.17875142395496,"Virginia-2019","Virginia","2019",14.9,"Virginia-2019",76.456,4,61.7,7,92.1,7.1,48.9444
"99",91,"Total",3054,3392854.77931668,637877.656808333,684202.27745,0.188006177544594,0.201659753918648,"WA",20.1659753918648,"Washington-2019","Washington","2019",17.1,"Washington-2019",78.687,4.6,59.3,9.5,93.4,7.5,57.0952
"100",55,"Total",2961,704740.536383333,71533.4645416667,78354.3818833333,0.101503260433674,0.111181885004044,"WV",11.1181885004044,"West Virginia-2019","West Virginia","2019",17.7,"West Virginia-2019",48.85,6,49.4,7.9,93.3,9.3,44.7278260869565
"101",35,"Total",2254,2697545.81265834,217948.167475,244996.490541667,0.080794982612133,0.0908219963312149,"WI",9.08219963312149,"Wisconsin-2019","Wisconsin","2019",32.7,"Wisconsin-2019",64.168,3.2,62.6,18.2,94.3,7.4,48.2104
"102",83,"Total",2165,242474.118916667,17639.80865,21130.2686083333,0.0727492421865463,0.0871444270014763,"WY",8.71444270014763,"Wyoming-2019","Wyoming","2019",17.6,"Wyoming-2019",65.003,3.6,60.4,3.8,87.7,7.4,54.3519047619048
"103",63,"Total",2667,1894331.489025,150823.563216667,163265.663975,0.0796183571219444,0.0861864313483238,"AL",8.61864313483238,"Alabama-2020","Alabama","2020",25.7,"Alabama-2020",52.035,5.6,52.6,14.2,90.5,10.2,46.5958333333333
"104",94,"Total",1578,280369.595008333,49281.3329416666,54544.9490166667,0.175772741436958,0.194546595215797,"AK",19.4546595215797,"Alaska-2020","Alaska","2020",14.4,"Alaska-2020",77.79,7.2,63.5,3.8,87.4,6.5,55.4176470588235
"105",86,"Total",2168,2907798.10536666,154523.6328,206667.730116667,0.053141113370657,0.0710736140608788,"AZ",7.10736140608788,"Arizona-2020","Arizona","2020",29.9,"Arizona-2020",61.529,5.8,55.2,7,89.4,8.9,52.28
"106",71,"Total",2245,1157555.150425,54306.1935916667,68557.5122583334,0.0469145625829697,0.0592261292040348,"AR",5.92261292040348,"Arkansas-2020","Arkansas","2020",21,"Arkansas-2020",49.475,5.2,54,13.4,91.7,9.8,44.05
"107",93,"Total",10839,15062871.3905,2438450.56179167,2651897.352425,0.161884844303131,0.176055237650871,"CA",17.6055237650871,"California-2020","California","2020",16.4,"California-2020",78.672,6.2,57.8,9,92.8,10.3,61.672
"108",84,"Total",1766,2471596.83036667,182645.359241667,202160.328575,0.0738977119326591,0.0817934051156044,"CO",8.17934051156044,"Colorado-2020","Colorado","2020",18.2,"Colorado-2020",75.231,4.6,63,6.8,92.2,7.4,61.41875
"109",16,"Total",1411,1523509.77720833,260509.756458333,280200.515025,0.170993164181709,0.183917760848999,"CT",18.3917760848999,"Connecticut-2020","Connecticut","2020",13.3,"Connecticut-2020",79.855,6,61.8,10.5,94.9,7.2,58.3908333333333
